Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,talk_id,main_rating
18,36,45,130,3,265,21,105,32,70,62,47,73,97,51,Informative
16,63,283,169,16,549,139,280,67,79,111,212,1668,537,52,Persuasive
563,24,192,928,68,698,136,970,380,55,75,46,426,54,53,Inspiring
126,14,61,88,5,116,16,157,17,30,24,7,33,25,54,Inspiring
214,27,63,737,47,607,132,460,117,109,175,21,188,60,55,Fascinating
30,55,140,167,342,251,121,343,23,102,129,40,288,107,56,Inspiring
13,5,10,201,20,384,26,94,11,9,66,2,72,5,57,Informative
32,10,29,200,11,355,116,408,36,37,67,3,249,16,58,Inspiring
1810,53,142,846,21,18,420,525,2011,58,81,22,34,22,59,Jaw-dropping
186,31,179,224,149,67,151,208,146,14,37,39,36,7,60,Fascinating
4,94,4,84,3,98,89,48,23,31,53,6,12,22,61,Informative
26,55,9,172,11,111,156,188,105,21,10,9,42,12,62,Inspiring
313,30,159,242,199,411,93,1260,35,73,141,21,575,53,63,Inspiring
45,7,102,86,11,208,37,368,32,45,47,11,160,23,64,Inspiring
168,20,74,229,44,353,60,403,79,71,46,5,178,17,65,Inspiring
126,15,637,198,3,234,25,574,296,27,24,13,171,24,66,Courageous
441,28,289,432,36,387,35,944,107,70,63,27,285,30,67,Inspiring
95,23,91,571,785,997,444,1040,100,46,158,34,811,59,68,Inspiring
101,34,39,298,306,360,106,230,54,54,66,47,29,184,69,Informative
109,80,2,367,319,173,221,62,93,123,284,35,32,102,70,Fascinating
20,14,19,68,15,89,121,116,34,49,17,17,63,34,71,Ingenious
27,7,23,310,35,319,89,176,181,19,21,15,133,19,72,Informative
180,31,52,138,468,100,159,542,23,68,123,14,33,70,73,Inspiring
100,15,78,158,12,313,97,518,72,31,59,14,174,30,74,Inspiring
24,69,11,53,7,59,42,91,15,61,44,18,2,60,75,Inspiring
88,32,36,76,97,87,23,162,9,100,64,45,28,81,76,Inspiring
123,7,22,38,11,2,17,71,22,3,31,13,5,20,77,Beautiful
33,1,12,98,31,199,130,276,9,11,56,19,54,14,78,Inspiring
364,10,27,402,507,46,448,362,162,21,44,9,20,16,79,Funny
20,88,66,119,15,151,78,108,19,173,108,66,47,273,80,Unconvincing
241,11,74,704,14,448,387,874,338,33,38,27,234,18,81,Inspiring
12,23,21,163,3,199,54,73,74,8,10,0,23,3,82,Informative
95,53,7,65,13,21,56,43,16,89,89,57,0,80,83,Beautiful
544,15,56,1342,272,604,119,556,1936,23,61,37,106,70,84,Jaw-dropping
1262,25,71,600,18,262,141,611,882,108,145,88,62,75,85,Beautiful
111,5,16,724,159,496,108,85,234,21,67,8,16,3,86,Fascinating
84,8,16,10,259,11,45,25,5,6,70,28,16,16,87,Funny
215,5,5,32,2,0,1,45,17,20,58,9,7,21,88,Beautiful
67,101,27,653,219,680,189,204,89,197,289,45,182,264,89,Informative
1535,49,397,1291,122,483,312,2061,1587,107,114,29,218,33,90,Inspiring
138,27,149,286,75,257,415,695,207,49,25,39,907,34,91,Persuasive
18,24,14,93,130,267,66,166,16,83,66,16,68,41,92,Informative
225,8,11,117,169,4,189,124,133,7,17,11,8,5,93,Beautiful
396,2,13,24,5,0,2,61,35,9,47,7,3,17,94,Beautiful
272,12,20,31,1,6,3,169,48,12,23,15,24,13,95,Beautiful
223,87,435,112,11,75,36,319,27,104,66,66,98,316,96,Courageous
399,86,3236,934,1203,1113,663,2935,551,192,172,406,2475,539,97,Courageous
17,56,38,19,600,11,94,18,39,54,71,116,1,37,98,Funny
224,8,9,43,58,0,27,40,12,4,55,14,1,26,99,Beautiful
8,19,8,100,11,334,33,55,15,39,85,12,51,17,100,Informative
364,10,6,67,23,1,12,102,54,29,80,23,12,22,101,Beautiful
51,54,19,97,94,302,77,176,39,143,163,17,22,50,102,Informative
61,32,57,36,275,26,88,52,23,33,101,29,16,38,103,Funny
52,29,446,342,1006,686,191,801,124,106,87,193,1678,113,104,Persuasive
50,7,10,84,43,113,73,144,11,25,50,7,13,29,105,Inspiring
24,159,30,58,10,189,25,53,15,10,115,44,49,261,106,Unconvincing
39,22,73,750,256,635,375,553,151,37,43,28,268,44,107,Fascinating
156,3,5,347,330,383,22,144,50,22,28,14,31,15,108,Informative
632,76,60,1623,70,647,1736,857,14728,40,119,21,95,41,109,Jaw-dropping
42,19,174,57,4,234,19,378,49,33,39,27,207,72,110,Inspiring
132,2,136,78,20,347,43,363,42,21,39,3,176,2,111,Inspiring
161,10,45,301,342,125,470,177,167,13,94,8,48,77,112,Ingenious
424,73,71,209,330,185,57,947,39,47,90,26,171,50,113,Inspiring
11,0,12,12,3,37,11,29,9,64,26,19,4,60,114,talk_id
16,44,194,319,384,479,293,149,160,31,17,87,535,88,115,Persuasive
216,10,6,48,3,0,8,54,19,14,57,10,8,24,116,Beautiful
16,13,9,54,3,61,44,16,81,17,43,14,4,34,117,talk_id
218,29,284,1265,1021,1544,730,1569,5137,27,74,21,828,36,118,Jaw-dropping
62,21,720,437,32,237,172,683,1507,32,48,54,205,64,119,Jaw-dropping
67,107,181,763,93,854,327,488,143,167,222,62,1707,146,120,Persuasive
30,13,83,553,23,469,303,400,463,26,47,16,235,15,121,Fascinating
360,54,31,642,50,232,558,416,1157,125,135,48,28,95,122,Jaw-dropping
15,50,38,103,7,386,86,40,40,34,83,18,144,94,123,Informative
238,21,37,596,91,218,628,459,1285,70,90,18,95,51,124,Jaw-dropping
169,82,43,431,2460,81,891,92,103,78,238,65,76,151,125,Funny
1054,52,23,912,65,449,252,397,1772,149,111,14,31,28,126,Jaw-dropping
38,10,52,14,440,42,105,96,11,8,74,52,27,44,127,Funny
35,15,254,80,29,249,30,286,53,17,29,10,165,15,128,Inspiring
26,14,102,39,11,141,28,193,38,32,16,22,1249,32,129,Persuasive
236,13,348,216,36,70,310,1047,136,14,51,14,23,12,130,Inspiring
6,1,8,33,1,98,31,119,5,16,16,3,34,11,131,talk_id
146,3,320,115,5,171,54,810,50,45,65,1,183,29,132,Inspiring
221,13,133,102,140,83,24,220,42,13,39,14,28,16,133,Beautiful
87,7,126,89,7,167,47,412,32,19,44,6,140,18,134,Inspiring
359,5,72,42,17,15,13,207,32,10,18,3,12,5,135,Beautiful
210,7,10,54,17,4,24,71,35,4,13,0,2,5,136,Beautiful
52,7,75,91,40,137,37,412,19,42,64,25,83,31,137,Inspiring
265,24,348,688,26,310,942,1075,2080,28,65,25,87,25,138,Jaw-dropping
195,31,45,518,965,557,243,343,41,83,104,40,206,51,139,Funny
25,9,240,115,52,403,64,251,67,8,38,7,1020,15,140,Persuasive
631,77,74,1289,214,109,1514,656,2186,37,100,21,30,67,141,Jaw-dropping
46,206,13,476,100,956,175,148,29,352,193,24,150,91,142,Informative
48,42,176,731,39,1314,147,491,109,116,161,94,1739,242,143,Persuasive
60,25,338,65,3,145,18,198,69,33,30,23,51,72,144,Courageous
55,21,56,349,33,436,24,167,23,31,64,1,46,25,145,Informative
183,145,27,269,643,184,185,403,22,190,155,50,45,168,146,Funny
20,14,79,356,244,460,70,121,97,61,69,19,158,152,147,Informative
31,13,18,140,111,111,165,148,34,70,31,3,13,12,148,Ingenious
1224,15,65,1768,47,880,73,1166,4971,61,108,24,78,25,149,Jaw-dropping
414,67,41,562,307,9,229,125,1153,73,533,110,13,200,150,Jaw-dropping
46,7,150,367,230,252,55,700,55,57,72,12,44,33,151,Inspiring
31,42,27,448,33,278,297,173,106,25,60,11,20,64,152,Fascinating
138,160,28,121,263,25,49,144,15,118,67,28,7,67,153,Funny
16,128,19,249,26,454,111,211,29,190,154,21,49,166,154,Informative
215,25,77,3847,673,2402,1458,969,1775,52,107,15,423,31,155,Fascinating
29,8,137,78,1,222,47,177,31,38,31,3,73,27,156,Informative
308,16,1417,466,95,453,37,1286,121,54,44,28,128,39,157,Courageous
1621,109,194,1170,400,863,106,3774,139,245,268,28,618,88,158,Inspiring
91,35,423,589,254,1014,344,1074,157,76,89,41,2163,76,159,Persuasive
15,65,12,261,34,140,195,64,98,9,40,9,9,23,160,Fascinating
14,43,262,300,30,680,184,166,77,57,61,43,1352,129,161,Persuasive
11,81,79,282,30,551,186,246,63,71,69,37,1008,115,162,Persuasive
28,19,56,57,2,171,14,207,28,94,44,9,48,104,163,Inspiring
78,4,9,513,51,262,310,228,116,13,21,14,26,7,164,Fascinating
317,45,39,1137,73,657,412,365,954,19,51,15,102,38,165,Fascinating
201,276,175,334,855,103,216,711,68,192,129,67,88,165,166,Funny
372,55,42,483,296,509,120,297,50,57,114,13,115,53,167,Informative
10,38,63,221,40,620,254,333,123,45,46,17,375,67,168,Informative
429,168,182,3710,2152,340,1944,817,7196,114,314,151,128,84,169,Jaw-dropping
233,39,111,246,38,515,48,830,30,67,140,12,255,59,170,Inspiring
330,9,82,25,13,12,11,288,5,13,75,18,53,45,171,Beautiful
78,61,598,371,1210,960,422,1035,82,70,378,37,1414,238,172,Persuasive
1148,28,1696,916,1302,447,292,3528,426,58,140,63,899,82,173,Inspiring
18,16,84,40,1452,120,114,34,39,34,143,94,44,74,174,Funny
65,16,19,884,41,868,154,120,74,61,114,4,42,10,175,Fascinating
177,84,92,907,1512,453,406,1454,185,150,252,80,140,84,176,Funny
5201,95,216,8448,815,3875,543,1647,8328,79,322,126,236,80,177,Fascinating
59,27,12,82,9,138,29,111,7,68,83,20,41,43,178,talk_id
49,30,14,68,100,90,23,127,12,161,139,36,8,45,179,talk_id
240,0,29,62,6,3,26,134,71,0,30,0,0,3,180,Beautiful
280,10,158,122,22,42,63,670,153,46,18,19,108,11,181,Inspiring
696,42,236,633,167,160,97,1716,221,92,74,14,212,30,182,Inspiring
35,18,62,24,604,24,91,23,18,46,166,236,16,76,183,Funny
13,26,59,66,128,27,65,15,21,59,58,52,9,49,184,talk_id
45,11,134,44,37,105,23,267,20,18,61,10,109,11,185,Inspiring
7,57,61,76,6,162,136,114,28,42,88,40,123,157,186,talk_id
85,24,82,167,140,189,123,438,39,17,53,4,186,9,187,Inspiring
210,46,11,120,92,71,109,102,44,124,96,16,13,27,188,Beautiful
121,22,50,570,67,537,353,635,133,46,70,17,332,52,189,Inspiring
33,30,32,182,73,308,93,363,45,46,102,10,244,30,190,Inspiring
667,9,34,529,129,77,142,177,267,22,58,6,11,20,191,Beautiful
14,5,63,206,202,196,36,24,79,21,50,7,8,19,192,Fascinating
177,0,16,117,10,75,49,187,29,33,73,12,20,33,193,talk_id
80,17,34,24,433,14,49,41,12,31,159,67,7,38,194,Funny
59,6,72,267,1637,9,116,57,402,56,126,52,14,15,195,Funny
45,1,108,36,0,37,8,183,10,0,33,4,43,12,196,talk_id
66,2,25,191,89,80,37,154,70,2,67,9,18,13,197,talk_id
330,14,23,357,6,170,112,209,306,35,72,40,26,71,198,Fascinating
30,63,30,175,20,231,117,238,45,93,130,17,117,45,199,Inspiring
33,33,71,583,9,402,292,239,680,34,30,14,73,14,200,Jaw-dropping
14,12,19,177,24,131,86,101,77,51,30,7,26,4,201,talk_id
9437,289,7842,14447,966,5430,1228,16918,10464,398,636,356,1704,550,202,Inspiring
19,11,9,31,40,32,16,41,10,76,35,9,10,7,203,talk_id
209,11,223,241,480,133,452,1398,215,24,28,8,301,8,204,Inspiring
318,26,458,240,15,340,97,1111,91,50,86,37,528,123,205,Inspiring
70,0,142,92,7,106,65,396,54,15,17,3,113,3,206,Inspiring
37,16,11,122,19,181,58,193,30,119,96,25,61,22,207,talk_id
29,49,49,679,30,455,251,223,388,10,126,15,96,85,208,Fascinating
228,278,92,645,1243,177,432,773,362,126,119,195,65,86,209,Funny
522,14,20,105,0,1,8,113,52,3,71,5,14,6,210,Beautiful
110,10,35,524,28,307,282,81,197,1,74,7,324,65,211,Fascinating
32,5,5,77,8,124,6,41,8,0,44,10,10,7,212,talk_id
132,111,15,53,1,17,44,59,24,42,170,70,8,224,213,Unconvincing
209,41,305,1070,69,716,254,775,304,47,141,48,199,86,214,Fascinating
68,74,653,340,58,1055,87,1435,534,120,137,210,1175,288,215,Inspiring
159,15,89,1684,132,843,3249,1338,2368,8,80,14,159,9,216,Ingenious
204,16,87,168,1,52,109,240,142,20,31,37,16,38,217,Inspiring
27,24,35,258,7,555,93,268,69,40,105,3,285,29,218,Informative
20,1,112,53,0,105,56,177,23,4,14,0,123,10,219,talk_id
416,204,157,444,560,304,172,752,59,273,298,43,106,148,220,Inspiring
349,79,88,2551,58,2050,582,753,747,41,116,27,440,96,221,Fascinating
448,29,47,1633,237,1276,239,838,449,21,93,16,169,34,222,Fascinating
23,35,13,31,143,3,59,21,16,32,64,81,0,19,223,talk_id
36,9,49,37,10,93,19,202,8,66,78,2,91,23,224,talk_id
167,87,181,1921,18,1084,1247,1093,1479,54,60,25,610,51,225,Fascinating
9,19,18,172,8,252,131,66,28,30,43,6,141,22,226,Informative
367,36,22,488,80,35,267,214,453,117,88,26,6,32,227,Fascinating
122,6,41,1846,643,925,977,676,642,13,82,14,312,16,228,Fascinating
26,24,199,340,135,1219,100,194,363,16,167,46,567,94,229,Informative
70,37,389,505,194,2217,102,1425,305,110,210,92,1914,183,230,Informative
118,5,70,704,39,366,70,623,557,7,25,20,332,4,231,Fascinating
143,19,34,175,124,187,193,444,44,59,140,24,84,51,232,Inspiring
489,5,27,370,119,35,383,320,140,13,42,12,8,7,233,Beautiful
6,16,37,24,5,66,19,70,7,13,27,14,30,19,234,talk_id
22,18,116,117,10,410,67,330,34,36,58,17,443,31,235,Persuasive
45,118,136,652,48,405,253,186,197,89,121,68,248,313,236,Fascinating
22,10,23,157,273,81,45,170,23,31,70,116,9,27,237,Funny
330,8,22,84,1,0,6,100,31,7,30,4,0,8,238,Beautiful
256,43,101,512,2,315,25,448,153,90,51,43,142,61,239,Fascinating
13,11,6,78,18,104,18,30,7,12,131,12,28,65,240,talk_id
38,31,10,319,131,411,41,100,55,41,67,8,10,28,241,Informative
232,11,389,565,13,764,307,831,509,75,123,73,703,108,242,Inspiring
13,11,20,225,65,571,39,257,44,2,81,1,248,22,243,Informative
49,9,4,495,82,255,276,221,265,11,28,3,47,4,244,Fascinating
13,15,17,211,10,224,682,163,118,0,51,3,62,21,245,Ingenious
7,23,112,86,11,307,66,16,27,57,64,24,208,80,246,Informative
5967,37,396,2736,1960,639,900,8108,1303,47,143,28,1291,36,247,Inspiring
21,4,50,55,3,89,28,171,19,11,25,7,80,10,248,talk_id
134,14,19,32,370,1,51,20,12,5,104,26,3,27,249,Funny
41,54,21,57,19,0,44,20,36,13,62,97,2,38,250,talk_id
216,0,121,77,68,18,12,264,45,0,40,2,13,11,251,Inspiring
817,9,344,386,24,37,11,650,157,22,24,23,14,12,252,Beautiful
243,5,16,48,0,0,27,150,65,3,18,4,8,8,253,talk_id
23,9,175,42,2,50,6,136,21,4,8,0,20,3,254,talk_id
14,0,0,179,44,79,150,42,64,18,32,5,6,11,255,talk_id
65,91,224,36,6,36,15,250,23,39,205,53,29,112,256,talk_id
20,27,43,373,22,514,136,249,88,31,47,5,355,20,257,Informative
383,7,60,53,476,3,95,79,54,8,48,26,20,7,258,Funny
50,23,52,252,82,109,115,221,38,83,70,18,46,112,259,talk_id
639,55,50,1063,202,1157,144,499,92,154,347,35,253,131,260,Informative
420,25,470,294,71,163,56,1090,148,122,109,158,411,356,261,Inspiring
50,52,345,531,936,376,250,422,45,105,219,116,130,150,262,Funny
208,273,206,2555,1819,137,803,267,3715,79,336,161,252,505,263,Jaw-dropping
173,34,89,708,75,1094,166,1244,120,96,202,24,609,60,264,Inspiring
81,3,10,23,0,38,18,54,0,2,32,9,3,11,265,talk_id
591,11,491,126,127,45,16,672,135,19,40,5,44,8,266,Inspiring
55,22,24,206,16,285,10,109,28,30,86,16,75,44,267,Informative
321,8,47,260,21,55,146,336,55,24,39,15,9,21,268,Inspiring
48,25,8,37,33,71,18,43,13,22,48,33,12,38,269,talk_id
35,44,65,653,31,543,188,356,218,97,171,29,199,119,270,Fascinating
19,31,27,211,15,256,147,113,26,40,102,10,54,43,271,talk_id
401,6,22,747,89,411,536,329,362,7,48,1,55,3,272,Fascinating
69,5,10,73,67,4,53,25,41,8,85,11,0,10,273,talk_id
73,26,18,927,14,951,104,182,165,22,66,10,139,19,274,Informative
38,20,18,480,10,468,82,150,94,20,36,18,99,26,275,Fascinating
500,4,40,408,120,189,26,487,126,26,84,19,73,15,276,Beautiful
80,52,13,799,1552,14,399,69,1583,59,90,19,34,46,277,Jaw-dropping
63,12,25,266,134,581,74,392,31,34,78,28,321,31,278,Informative
315,4,27,48,255,6,56,103,23,5,83,36,14,10,279,Beautiful
53,18,4,92,9,36,65,38,35,17,19,12,6,22,280,talk_id
81,18,98,461,35,435,258,620,137,53,102,8,255,29,281,Inspiring
47,7,99,46,13,51,6,231,8,12,37,15,68,8,282,talk_id
300,13,20,430,1193,29,149,97,296,13,106,19,21,16,283,Funny
17,46,13,239,7,140,172,70,147,22,19,7,14,8,284,talk_id
15,0,75,105,0,70,73,216,26,14,26,15,125,29,285,talk_id
6,18,1,60,27,154,22,25,7,30,47,7,24,17,286,talk_id
20,51,27,260,225,466,118,193,48,39,228,35,215,92,287,Informative
161,11,98,81,18,143,16,381,36,20,42,10,152,14,288,Inspiring
3,8,42,99,18,393,10,23,99,32,59,22,135,65,289,Informative
9,10,71,102,2,197,73,179,26,39,43,10,60,25,290,talk_id
342,7,21,625,48,334,30,155,257,3,25,13,34,5,291,Fascinating
273,24,31,90,481,8,63,130,35,61,84,71,15,26,292,Funny
3,17,2,32,49,68,5,7,0,57,67,50,0,38,293,talk_id
40,20,200,108,13,416,24,314,163,50,59,94,404,57,294,Informative
169,70,493,1579,274,1788,399,1451,233,89,199,218,1666,315,295,Informative
123,18,293,101,11,100,30,431,54,49,40,27,151,50,296,Inspiring
13,8,15,71,3,496,30,144,23,47,66,28,212,27,297,Informative
5,111,24,71,105,63,54,33,10,62,55,27,17,89,298,talk_id
136,52,738,1296,50,1288,217,1599,785,85,128,52,904,51,299,Inspiring
542,22,145,110,45,161,50,766,18,12,211,15,364,79,300,Inspiring
48,19,10,137,102,59,151,95,28,73,71,25,6,30,301,talk_id
20,21,146,344,86,467,66,116,34,42,84,21,284,52,302,Informative
10,12,9,160,73,169,77,78,30,26,79,10,52,26,303,talk_id
147,12,18,80,90,24,100,211,16,10,87,19,14,25,304,talk_id
13,79,72,46,0,140,23,59,8,117,122,92,118,268,305,talk_id
98,19,21,120,12,46,101,105,33,70,67,71,12,65,306,talk_id
21,0,62,16,0,102,7,78,88,5,13,0,73,6,307,talk_id
119,27,32,271,99,229,63,158,72,102,125,56,72,87,308,talk_id
317,3,25,249,168,239,30,481,38,24,33,6,37,9,309,Inspiring
4,16,1,55,37,114,21,24,4,41,52,8,21,31,310,talk_id
65,17,26,244,175,4,156,54,316,71,200,64,8,57,311,Jaw-dropping
597,376,96,879,68,381,295,321,297,85,103,21,90,52,312,Fascinating
54,18,13,145,32,106,62,91,17,48,69,21,23,34,313,talk_id
39,27,8,86,28,171,23,31,7,88,98,69,52,62,314,talk_id
46,13,27,167,76,587,36,423,46,14,49,0,425,23,315,Informative
495,65,46,171,1795,33,283,106,36,170,226,81,27,71,316,Funny
19,0,5,58,6,52,47,54,17,19,29,0,26,2,317,talk_id
110,113,55,927,23,1079,163,1110,62,218,261,6,271,72,318,Inspiring
42,1,111,28,5,65,0,62,88,0,33,8,47,4,319,talk_id
28,32,79,299,17,729,83,231,54,164,143,40,503,104,320,Informative
211,98,11,132,630,32,258,86,36,23,194,47,10,56,321,Funny
8,15,9,205,90,142,178,87,55,56,107,47,19,60,322,talk_id
47,7,137,40,0,68,3,68,33,12,17,0,40,9,323,talk_id
28,7,7,8,0,11,3,45,2,30,14,13,21,20,324,talk_id
169,7,32,85,20,68,38,369,30,23,21,4,105,9,325,Inspiring
47,3,2,5,6,12,3,73,1,15,13,12,15,6,326,talk_id
182,27,38,56,0,64,8,274,12,35,16,24,56,40,327,talk_id
60,9,14,27,18,23,6,148,8,20,26,12,35,11,328,talk_id
8,13,15,42,8,88,11,57,4,32,27,7,64,20,329,talk_id
45,14,17,98,11,66,78,53,24,41,64,85,17,34,330,talk_id
4,2,13,65,2,138,17,48,5,21,54,1,72,10,331,talk_id
272,15,279,274,58,36,35,754,136,15,30,1,94,9,332,Inspiring
44,19,63,336,321,457,225,766,55,106,112,5,288,23,333,Inspiring
38,20,12,267,44,239,179,51,24,7,26,7,63,8,334,talk_id
6,40,12,73,10,92,32,42,10,42,61,9,68,65,335,talk_id
25,2,112,59,0,151,4,176,16,45,37,9,121,26,336,talk_id
41,7,5,164,30,127,36,62,61,20,45,6,9,3,337,talk_id
77,10,54,167,1080,20,324,128,45,93,127,70,21,30,338,Funny
57,19,16,69,3,45,35,84,17,88,22,11,11,22,339,talk_id
78,95,26,74,325,44,39,125,9,103,140,97,6,60,340,talk_id
19,7,15,48,6,86,9,95,15,21,28,3,18,10,341,talk_id
325,112,14,663,13,486,129,178,364,98,126,19,65,39,342,Fascinating
2,18,32,62,1,139,20,56,10,71,42,15,54,45,343,talk_id
278,3,51,479,183,360,96,534,116,43,33,32,273,31,344,Inspiring
18,10,28,32,121,21,24,120,2,4,47,7,67,27,345,talk_id
1,1,24,130,43,607,23,61,81,0,83,10,271,14,346,Informative
341,1,33,510,13,337,10,225,229,21,41,4,52,5,347,Fascinating
10,31,15,152,9,164,54,74,25,116,114,44,51,95,348,talk_id
11,24,13,61,14,127,39,56,12,29,102,54,41,230,349,talk_id
42,18,2,83,2,51,102,35,24,5,90,0,6,33,350,talk_id
158,2,6,145,120,38,78,133,31,4,20,2,5,0,351,talk_id
172,7,38,85,44,17,9,182,13,38,32,0,10,3,352,talk_id
96,2,32,238,63,389,15,268,47,11,31,7,221,4,353,Informative
56,10,6,159,29,128,51,107,52,5,71,13,29,17,354,talk_id
61,44,53,1396,441,1402,338,541,215,86,132,29,887,53,355,Informative
53,13,20,300,459,471,85,109,43,61,232,39,147,92,356,Informative
10,2,18,110,6,131,18,53,32,23,26,4,31,20,357,talk_id
83,8,0,313,58,239,52,45,61,25,65,9,53,28,358,talk_id
75,3,67,57,5,53,47,246,27,0,15,5,37,12,359,talk_id
26,10,5,354,648,598,121,24,38,33,62,22,44,9,360,Funny
8,27,98,87,125,109,25,89,22,57,40,38,66,53,361,talk_id
8,33,8,17,18,16,15,42,0,57,56,29,1,30,362,talk_id
20,10,29,115,7,125,15,121,17,19,27,9,24,7,363,talk_id
0,4,37,78,1,72,49,54,26,46,57,18,29,124,364,talk_id
36,14,2,60,3,86,33,41,9,46,50,10,12,33,365,talk_id
57,18,2,44,8,54,21,82,1,75,66,18,17,49,366,talk_id
78,58,14,325,245,218,217,224,36,59,85,10,57,42,367,talk_id
72,7,8,141,81,208,27,116,16,80,78,15,18,19,368,talk_id
15,30,6,122,35,263,73,164,20,42,93,14,168,48,369,talk_id
50,3,42,80,54,68,39,263,12,12,31,6,50,9,370,talk_id
55,12,13,87,363,51,75,228,18,25,38,15,40,25,371,talk_id
3,7,6,30,2,67,19,67,7,30,36,8,37,18,372,talk_id
10,2,9,140,26,168,37,61,34,17,33,16,46,26,373,talk_id
56,12,19,21,2,42,7,144,6,62,60,25,41,31,374,talk_id
25,34,9,401,58,185,756,180,318,37,49,79,34,20,375,Ingenious
2,43,18,171,13,180,32,36,58,19,21,9,64,45,376,talk_id
131,3,249,101,95,61,18,365,84,14,23,12,19,2,377,talk_id
4,20,5,155,14,143,185,42,109,9,24,1,36,7,378,talk_id
227,3,8,82,40,6,8,112,114,7,14,6,4,4,379,talk_id
10,5,18,176,3,182,393,180,67,29,38,7,98,16,380,Ingenious
60,31,187,240,160,735,91,895,104,69,216,65,633,90,381,Inspiring
4027,138,2239,2093,1754,738,1329,8130,870,351,553,182,1206,546,382,Inspiring
34,3,12,58,48,27,35,77,4,34,27,11,8,18,383,talk_id
